gene,entrez_id,chromosome,
C2orf71,388939,2,
HIST1H3C,8352,6,
CTXN1,404217,19,
C1orf185,284546,1,
ULBP1,80329,6,
ACAD8,27034,11,
FOXL2,668,3,
ITGA10,8515,1,
MAGEC1,9947,X,
TMEM102,284114,17,
VN1R2,317701,19,
DPH7,92715,9,
BVES-AS1,154442,6,
PLA2G2A,5320,1,
SPSB2,84727,12,
MAGEL2,54551,15,
G0S2,50486,1,
SUV39H2,79723,10,
BRD2,6046,6,
CEP152,22995,15,
PROX2,283571,14,
KRT18P55,284085,17,
KIF2B,84643,17,
GPX7,2882,1,
SDHC,6391,1,
PLEKHG5,57449,1,
TMUB2,79089,17,
LINC01125,728537,2,
OR2M1P,388762,,
XKRX,402415,X,
DNAH7,56171,2,
LEPROTL1,23484,8,
FAR2,55711,12,
MAP3K9,4293,14,
ZNF510,22869,9,
GCM1,8521,6,
TINAGL1,64129,1,
FAS,355,10,
GSTK1,373156,7,
ZBTB40,9923,1,
BCAR4,400500,16,
FTX,100302692,X,
TYW1,55253,7,
UBALD2,283991,17,
TNNI2,7136,11,
ZNF205-AS1,81854,,
TRIM52-AS1,100507602,5,
GDPD3,79153,16,
CHM,1121,X,
KIFC1,3833,6,
DGAT2L6,347516,X,
TEKT3,64518,17,
SETD5,55209,3,
IQSEC1,9922,3,
CLCN1,1180,7,
STK11,6794,19,
CASP2,835,7,
MAP3K7,6885,6,
CTAGE1,64693,18,
GAL3ST2,64090,2,
PARK2,5071,6,
IL21,59067,4,
INTS5,80789,11,
CBX8,57332,17,
KIT,3815,4,
SFRP5,6425,10,
ZNF530,348327,19,
RBM15,64783,1,
TRPC1,7220,3,
LEPREL4,10609,17,
GALNT8,26290,12,
PADI6,353238,1,
CYB5B,80777,16,
PGM5-AS1,572558,9,
DENND1A,57706,9,
HMGCR,3156,5,
GIMAP5,55340,7,
B4GALT4,8702,3,
LINC01015,100507362,6,
MAD2L2,10459,1,
VANGL2,57216,1,
WDFY4,57705,10,
TPTE,7179,21,
MED21,9412,12,
ZBED4,9889,22,
SPATC1L,84221,21,
TRIM53AP,642569,,
GJA5,2702,1,
NAB1,4664,2,
LMNB1,4001,5,
HTR2A,3356,13,
ARPP19,10776,15,
CEACAM18,729767,,
ZNF337,26152,20,
MYOC,4653,1,
GHRLOS,100126793,3,
LMTK2,22853,7,
SUGT1P3,283507,13,
GUCA2A,2980,1,
KCTD18,130535,2,
PHF19,26147,9,
DPCR1,135656,6,
DOK2,9046,8,
TIAF1,9220,17,
SMKR1,100287482,7,
ZNF419,79744,19,
C10orf35,219738,10,
PSPC1,55269,13,
NAGK,55577,2,
GNAS,2778,20,
MIR3134,100422990,3,
TOMM40L,84134,1,
CCDC94,55702,19,
RAB40B,10966,17,
LINC01021,643401,5,
DUS4L,11062,7,
ENTPD8,377841,9,
TEX14,56155,17,
MAP3K10,4294,19,
C6orf48,50854,6,
SNORD114-3,767579,14,
PLCXD3,345557,5,
ZNRF2P1,441208,,
SPAST,6683,2,
PKDCC,91461,2,
C6,729,5,
CDCP1,64866,3,
ZNF425,155054,7,
FAM47B,170062,X,
CCNO,10309,5,
PER3,8863,1,
C22orf15,150248,22,
ZNF17,7565,19,
LEMD2,221496,6,
BEX4,56271,X,
RGS3,5998,9,
B3GAT1,27087,11,
C4orf51,646603,4,
LINC00466,199899,,
FNBP1L,54874,1,
CXXC1,30827,18,
TPGS2,25941,18,
SDHAF1,644096,19,
ELK3,2004,12,
MRPS17,51373,7,
GTF3C1,2975,16,
SLC51B,123264,15,
PSMD6,9861,3,
C12orf68,387856,12,
METTL1,4234,12,
PAX7,5081,1,
SSTR5-AS1,146336,16,
DESI2,51029,1,
ODF4,146852,17,
CCL7,6354,17,
ENPP7,339221,17,
UTF1,8433,10,
IRX1,79192,5,
ZZZ3,26009,1,
GPR62,118442,3,
EGLN1,54583,1,
USP37,57695,2,
MPV17L,255027,16,
DAAM1,23002,14,
TFAP2C,7022,20,
HSPA13,6782,21,
ADAMDEC1,27299,8,
PKM,5315,15,
PLET1,349633,11,
UNKL,64718,16,
VWA9,81556,15,
CDK20,23552,9,
GATA4,2626,8,
GFOD2,81577,16,
PCNX,22990,14,
PDHA2,5161,4,
ZNF732,654254,4,
STPG1,90529,1,
PRDM6,93166,5,
TSGA10IP,254187,11,
CLRN3,119467,,
PKIG,11142,20,
THSD4,79875,15,
AHSG,197,3,
CEP170,9859,1,
CLEC4G,339390,19,
LINC00311,197196,,
ZNF28,7576,19,
MIEF2,125170,17,
SLC6A16,28968,19,
NRROS,375387,3,
CA11,770,19,
CHRND,1144,2,
ARMC2,84071,6,
OR9A4,130075,7,
CFC1,55997,2,
FRA10AC1,118924,10,
ITIH1,3697,3,
MYH8,4626,17,
FAM19A4,151647,3,
LINC01101,84931,2,
C6orf25,80739,6,
ZNF829,374899,19,
LIG3,3980,17,
ITGAM,3684,16,
ARL5A,26225,2,
REM2,161253,14,
ZNF507,22847,19,
TMPRSS11B,132724,4,
WHSC1L1,54904,8,
SPINT4,391253,,
COL19A1,1310,6,
STON1-GTF2A1L,286749,2,
OR2T33,391195,1,
PCDHGA4,56111,5,
C1orf109,54955,1,
PTPN14,5784,1,
MAML3,55534,4,
CCDC105,126402,19,
SMYD4,114826,17,
STX10,8677,19,
OR2M2,391194,1,
ATP1A1OS,84852,1,
NUDT16P1,152195,3,
PCDHAC2,56134,5,
KCTD13,253980,16,
CELSR3,1951,3,
GGH,8836,8,
PGRMC1,10857,X,
RGP1,9827,9,
CEP95,90799,17,
CCL13,6357,17,
ZNF676,163223,19,
HLA-DRB6,3128,6,
ERBB2,2064,17,
TMEM71,137835,8,
RPL38,6169,17,
FBRSL1,57666,12,
LINC00839,84856,10,
FAM110A,83541,20,
OR8H2,390151,11,
LRG1,116844,19,
DSCR10,259234,21,
TRHR,7201,8,
VWA2,340706,10,
PIWIL2,55124,8,
ERCC6,2074,10,
TROAP,10024,12,
PLEKHA2,59339,8,
RDH5,5959,12,
GRK1,6011,13,
HGSNAT,138050,8,
SYNGR4,23546,19,
ZNF554,115196,19,
MANSC1,54682,12,
MAGI3,260425,1,
PABPC5,140886,X,
TMEM234,56063,1,
PLA2G12B,84647,10,
SLC10A5,347051,8,
LINC00652,29075,,
KLF1,10661,19,
C20orf26,26074,20,
PRR21,643905,,
OR6N2,81442,1,
ZFR2,23217,19,
RNF26,79102,11,
RNF170,81790,8,
VRK2,7444,2,
DUSP3,1845,17,
EEF1D,1936,8,
TP73,7161,1,
NOP14-AS1,317648,4,
ROCK1,6093,18,
SEC14L2,23541,22,
C14orf119,55017,14,
SLC34A2,10568,4,
PRNT,149830,,
AKT1,207,14,
RNF103,7844,2,
OMG,4974,17,
FOCAD,54914,9,
SOX4,6659,6,
KRTAP4-7,100132476,17,
CDKN2AIP,55602,4,
RBM15B,29890,3,
FABP9,646480,8,
PROZ,8858,13,
OSBPL11,114885,3,
DPY19L1P1,100129460,,
ZNF577,84765,19,
ZBTB25,7597,14,
SLC28A1,9154,15,
LINC00857,439990,10,
IFNA10,3446,9,
CATSPER4,378807,1,
RNF43,54894,17,
CAMK2N2,94032,3,
AKT2,208,19,
LY75,4065,2,
FAM98B,283742,15,
HOXD9,3235,2,
HNRNPK,3190,9,
PLB1,151056,2,
RUNDC1,146923,17,
CNGB1,1258,16,
MPZL1,9019,1,
LRRC69,100130742,8,
CT47B1,643311,X,
PMS2CL,441194,,
LCT,3938,2,
GP1BA,2811,17,
FAM155B,27112,X,
KLHL17,339451,1,
OR1F1,4992,16,
SMYD3,64754,1,
CLVS2,134829,6,
ATP11A,23250,13,
CHMP7,91782,8,
ECSIT,51295,19,
C1QTNF9,338872,13,
CGB1,114335,19,
RFPL3S,10737,,
LHX2,9355,9,
FAM110C,642273,2,
RRM2,6241,2,
PGM2L1,283209,11,
PREP,5550,6,
S100A3,6274,1,
HIRA,7290,22,
RNF113B,140432,13,
KTN1-AS1,100129075,14,
CMTM2,146225,16,
TP53RK,112858,20,
CLEC18A,348174,16,
PARL,55486,3,
ZNF669,79862,1,
HMGA2,8091,12,
SPATA16,83893,3,
PSMB11,122706,14,
COL2A1,1280,12,
ITPRIP,85450,10,
SERPIND1,3053,22,
ATXN7,6314,3,
MAPK11,5600,22,
DDX51,317781,12,
HGFAC,3083,4,
ICT1,3396,17,
MYO18A,399687,17,
TMEM202,338949,15,
ZNF512B,57473,20,
BRWD1-IT2,257357,,
GK3P,2713,,
USP33,23032,1,
SHISA7,729956,19,
PXDNL,137902,8,
ARL10,285598,5,
BHLHE23,128408,20,
SPRY3,10251,X|Y,
SNX30,401548,9,
NUTM2F,54754,9,
ZNF281,23528,1,
ZNF513,130557,2,
OR52E4,390081,11,
FSTL1,11167,3,
ZNF594,84622,17,
CCDC108,255101,2,
C12orf50,160419,12,
UBL4B,164153,1,
GFPT1,2673,2,
GPA33,10223,1,
HHIPL1,84439,14,
ZEB1,6935,10,
PTK2B,2185,8,
VRTN,55237,14,
KIF9-AS1,285352,,
ZNRF4,148066,19,
BOD1L1,259282,4,
MIR31HG,554202,,
SLITRK3,22865,3,
JAK1,3716,1,
RASSF10,644943,11,
TTTY20,252951,Y,
TRIM48,79097,11,
SUPT20HL2,170067,,
BAALC,79870,8,
KCNA2,3737,1,
SPRN,503542,10,
XIRP2,129446,2,
F2RL1,2150,5,
PNPLA8,50640,7,
KCNQ1,3784,11,
C12orf36,283422,,
USP44,84101,12,
ASB12,142689,X,
CCR7,1236,17,
MIR181A2HG,100379345,,
WDR76,79968,15,
ASB10,136371,7,
CCDC144NL,339184,17,
TRPM1,4308,15,
F13B,2165,1,
CTTNBP2NL,55917,1,
RHCE,6006,1,
ZNF134,7693,19,
BHLHA15,168620,7,
WBP1L,54838,10,
FAM133A,286499,X,
ATP6V1D,51382,14,
DYNLRB1,83658,20,
TRPV3,162514,17,
EID1,23741,15,
SEMA6B,10501,19,
MAP2K7,5609,19,
FSD2,123722,15,
EPOR,2057,19,
FCAR,2204,19,
CYP2S1,29785,,
LGR4,55366,11,
ISOC2,79763,19,
PRSS1,5644,7,
ZNF672,79894,1,
TOPBP1,11073,3,
TFPI,7035,2,
MORC2,22880,22,
C1QTNF1,114897,17,
CA8,767,8,
CCR9,10803,3,
EDDM3B,64184,14,
ZDHHC19,131540,3,
BCLAF1,9774,6,
KPNA4,3840,3,
WDR73,84942,15,
GPAM,57678,10,
C19orf52,90580,,
INO80E,283899,16,
AOC2,314,17,
ANAPC11,51529,17,
ADCK5,203054,8,
UBTFL1,642623,11,
ABCC3,8714,17,
ZFP37,7539,9,
C3orf58,205428,3,
DIO3OS,64150,,
SCN8A,6334,12,
MAX,4149,14,
GMFB,2764,14,
C19orf55,148137,19,
SRRM2,23524,16,
ACP1,52,2,
TTTY14,83869,,
NFYA,4800,6,
ZFP69,339559,1,
KIF1C,10749,17,
CEP76,79959,18,
PM20D1,148811,1,
NEUROD2,4761,17,
ASAH2,56624,10,
SLC7A13,157724,8,
PLAC1,10761,X,
FAM218A,152756,4,
CYP27B1,1594,12,
ZNF623,9831,8,
VSTM4,196740,10,
OPN1LW,5956,X,
LRRN4CL,221091,11,
CD300C,10871,17,
KRT84,3890,12,
MBD1,4152,18,
CSF2,1437,5,
CXorf61,203413,X,
TLE6,79816,19,
NKX2-6,137814,8,
ADCY10,55811,1,
TMEM156,80008,4,
GBP7,388646,1,
LINC00087,644596,X,
CSNK2A1,1457,20,
C15orf48,84419,15,
ASH2L,9070,8,
PRDX3,10935,10,
NHLRC4,283948,16,
KNTC1,9735,12,
CFP,5199,X,
ZNF616,90317,19,
HSPA14,51182,10,
ARTN,9048,1,
FOXR1,283150,11,
PANK3,79646,5,
WDR7,23335,18,
STK38,11329,6,
ZSCAN1,284312,19,
ZNF572,137209,8,
IL12B,3593,5,
GAGE2B,645037,X,
FGF13,2258,X,
CHIC1,53344,X,
TMEM108,66000,3,
VIL1,7429,2,
HINFP,25988,11,
GYS2,2998,12,
CREM,1390,10,
FASN,2194,17,
BCL2,596,18,
CCDC40,55036,17,
CLEC4F,165530,2,
PRMT5,10419,14,
NDUFAF2,91942,5,
FAM122A,116224,9,
CHRNA10,57053,11,
TP53AIP1,63970,11,
GSDMC,56169,8,
SETD8,387893,12,
KLRK1,22914,12,
P2RX1,5023,17,
WNK3,65267,X,
SGPP1,81537,14,
C16orf90,646174,16,
SPTAN1,6709,9,
MS4A12,54860,11,
CLTC,1213,17,
OSCP1,127700,1,
GBGT1,26301,9,
C15orf32,145858,,
SPANXN5,494197,X,
C8A,731,1,
DNAJC9,23234,10,
C16orf96,342346,16,
ANKRD34C,390616,15,
BFSP2,8419,3,
CTTNBP2,83992,7,
PTH,5741,11,
COPB2,9276,3,
KLHL18,23276,3,
CLC,1178,19,
USP2,9099,11,
SERBP1,26135,1,
OR52B4,143496,11,
DGCR14,8220,22,
DEFB128,245939,20,
CDKN1A,1026,6,
PRKAA1,5562,5,
CCNI,10983,4,
FUT5,2527,19,
OR8B4,283162,11,
PODN,127435,1,
CHSY3,337876,5,
MYBBP1A,10514,17,
TNRC18,84629,7,
DR1,1810,1,
SLC5A10,125206,17,
FEM1A,55527,19,
SLC1A5,6510,19,
CCL1,6346,17,
CPNE7,27132,16,
ZBTB32,27033,19,
PSG7,5676,19,
GBF1,8729,10,
BANP,54971,16,
CALM1,801,14,
ANKLE1,126549,19,
CHRM2,1129,7,
PRR23B,389151,3,
FOXA1,3169,14,
CEACAM5,1048,19,
SGOL1,151648,3,
PPP1R3F,89801,X,
HERC4,26091,10,
BAIAP2,10458,17,
NBEAL2,23218,3,
PPAP2A,8611,5,
BSCL2,26580,11,
GLB1L3,112937,11,
TMED6,146456,16,
SLC16A13,201232,17,
ARHGAP26,23092,5,
SPESP1,246777,15,
MCM10,55388,10,
GLYAT,10249,11,
ZNF606,80095,19,
PRODH2,58510,19,
KRTAP10-8,386681,21,
TMEM40,55287,3,
C11orf85,283129,11,
NIN,51199,14,
LRRC42,115353,1,
L3HYPDH,112849,14,
ASAH1,427,8,
SSUH2,51066,3,
PIEZO2,63895,18,
AMY2A,279,1,
FARP1,10160,13,
NPDC1,56654,9,
TCF19,6941,6,
BRS3,680,X,
RIC3,79608,11,
PSMB2,5690,1,
CCL15,6359,17,
C2orf15,150590,2,
CDC25B,994,20,
KIF18A,81930,11,
C6orf99,100130967,,
SPSB3,90864,16,
ZNF585B,92285,19,
RNF123,63891,3,
KIAA0391,9692,14,
TMEM53,79639,1,
WDR82P1,728505,,
OMP,4975,11,
TREX1,11277,3,
WAS,7454,X,
BRAP,8315,12,
LINC00304,283860,16,
HAUS8,93323,19,
ESX1,80712,X,
LINC00889,158696,,
RAP1A,5906,1,
ALDH18A1,5832,10,
DLGAP5,9787,14,
PRR18,285800,6,
OR7G2,390882,19,
CST9L,128821,20,
ADCY1,107,7,
IRGM,345611,5,
DPY19L3,147991,19,
CDC42BPG,55561,11,
DDN,23109,12,
ZNF692,55657,1,
SLC20A1,6574,2,
HDC,3067,15,
DDX53,168400,X,
ANO5,203859,11,
LCE1F,353137,1,
CYP17A1,1586,10,
TCTN1,79600,12,
FRZB,2487,2,
CSTF2T,23283,10,
FAM220A,84792,7,
SYS1-DBNDD2,767557,,
OPCML,4978,11,
TBC1D30,23329,12,
ATP5J,522,21,
ATP6V0A1,535,17,
PTDSS1,9791,8,
DHRS3,9249,1,
FAM225A,286333,9,
ITLN1,55600,1,
BEND3,57673,6,
TAL2,6887,9,
RBM41,55285,X,
SLC9A5,6553,16,
STAC3,246329,12,
PATE4,399968,11,
ZNF215,7762,11,
CEACAM7,1087,19,
NSD1,64324,5,
C2,717,6,
PALB2,79728,16,
CRLF2,64109,X|Y,
GPATCH2L,55668,14,
MYO1D,4642,17,
SLC25A30,253512,13,
AQP3,360,9,
PIGG,54872,4,
PRUNE,58497,1,
INA,9118,10,
HRH4,59340,18,
RABGEF1,27342,7,
COCH,1690,14,
ELSPBP1,64100,19,
MUC15,143662,11,
GPR78,27201,4,
FCGR3B,2215,1,
RAB22A,57403,20,
CCDC27,148870,1,
GCGR,2642,17,
LIG1,3978,19,
PAICS,10606,4,
MRAP,56246,21,
SLC22A25,387601,11,
ETS2,2114,21,
MOCS3,27304,20,
KRT27,342574,17,
C9orf66,157983,9,
HOXC12,3228,12,
DEFB112,245915,6,
TET2,54790,4,
GALK2,2585,15,
PDCL2,132954,4,
SLC10A1,6554,14,
LACRT,90070,12,
ISY1-RAB43,100534599,3,
STXBP2,6813,19,
ZIK1,284307,19,
GNPDA1,10007,5,
TRPA1,8989,8,
RAB15,376267,14,
CCDC42,146849,17,
ZBTB10,65986,8,
PAK1IP1,55003,6,
PDIA6,10130,2,
GNPDA2,132789,4,
PILRA,29992,7,
ANKRD13C,81573,1,
PEAK1,79834,15,
CCDC97,90324,19,
C1QL4,338761,12,
ZG16B,124220,16,
C11orf71,54494,11,
GCK,2645,7,
LHX9,56956,1,
RAB4B-EGLN2,100529264,,
CLCF1,23529,11,
POU2F2,5452,19,
PRR11,55771,17,
KRTAP19-4,337971,21,
GUCA1C,9626,3,
MICAL3,57553,22,
HIGD2B,123346,15,
GABRR1,2569,6,
RLN3,117579,19,
C9orf43,257169,9,
MTUS2,23281,13,
ATAT1,79969,6,
OR4P4,81300,11,
TNIP1,10318,5,
ZNF442,79973,19,
NEUROG1,4762,5,
ZCCHC13,389874,X,
PANK1,53354,10,
PCAT4,118425,4,
C20orf196,149840,20,
CA6,765,1,
SCAND2P,54581,,
HIST1H2BB,3018,6,
TCEB3B,51224,18,
RGPD4,285190,2,
EIF4G2,1982,11,
SETD1A,9739,16,
THAP10,56906,15,
C19orf43,79002,19,
MDS2,259283,1,
HOXA-AS3,100133311,7,
SVIL,6840,10,
STK40,83931,1,
FAM21C,253725,10,
MYO1B,4430,2,
HSPG2,3339,1,
ABHD3,171586,18,
KIR3DL2,3812,19,
INADL,10207,1,
FBXO36,130888,2,
BOC,91653,3,
TEKT2,27285,1,
ERAL1,26284,17,
MMP7,4316,11,
LIN7B,64130,19,
KDR,3791,4,
BCAR3,8412,1,
SEC61B,10952,9,
SLC24A5,283652,15,
ALPI,248,2,
SNHG6,641638,,
RUVBL1,8607,3,
PDLIM4,8572,5,
SHANK2-AS3,220070,11,
CHRNG,1146,2,
GSPT2,23708,X,
RECQL5,9400,17,
CLEC1B,51266,12,
LRRC28,123355,15,
GATA3,2625,10,
WDR27,253769,6,
GPC1,2817,2,
SSX3,10214,X,
RAB39B,116442,X,
RHOT1,55288,17,
SLC25A26,115286,3,
LRRC37B,114659,17,
ZNF655,79027,7,
PRR23C,389152,3,
CR1L,1379,1,
LINC00032,158035,9,
SAP25,100316904,7,
C2orf81,388963,2,
LINC00944,387895,,
SLC22A7,10864,6,
NUP54,53371,4,
LINC00347,338864,,
HERC1,8925,15,
PARPBP,55010,12,
MAP3K3,4215,17,
XIRP1,165904,3,
BEND7,222389,10,
SCP2D1,140856,20,
STAT5B,6777,17,
CDCA3,83461,12,
NFAM1,150372,22,
HCG4,54435,,
PCDHGB6,56100,5,
HIST2H2AB,317772,1,
C3orf17,25871,3,
LINC00942,100292680,,
TTTY12,83867,Y,
PRPF4B,8899,6,
ANKS1B,56899,12,
SMG5,23381,1,
ZNF764,92595,16,
CPNE3,8895,8,
DCAF4L2,138009,8,
OR6K6,128371,,
ZNF221,7638,19,
FAM186B,84070,12,
THBS3,7059,1,
PPP1R15B,84919,1,
DNAJC14,85406,12,
MORC3,23515,21,
CEBPA,1050,19,
RAB26,25837,16,
FBL,2091,19,
RSBN1L,222194,7,
TEKT5,146279,16,
HIST1H1T,3010,6,
HIST1H2BE,8344,6,
CYP4F35P,284233,18,
OR5B12,390191,11,
HIST1H2BF,8343,6,
CGA,1081,6,
SMCHD1,23347,18,
MUC1,4582,1,
RPRD1B,58490,20,
JOSD1,9929,22,
SMTNL2,342527,17,
SLC6A10P,386757,16,
KRT4,3851,12,
C4BPA,722,1,
FANCA,2175,16,
IGFBP3,3486,7,
RFESD,317671,5,
RAX,30062,18,
KRTAP20-1,337975,21,
PRR4,11272,12,
TAT,6898,16,
ASCC2,84164,22,
KRTAP5-9,3846,11,
MYO15A,51168,17,
BVES,11149,6,
UBE3B,89910,12,
RIN3,79890,14,
IQGAP2,10788,5,
IRF2BPL,64207,14,
DEPDC5,9681,22,
TSSK6,83983,19,
CBLN3,643866,14,
BOP1,23246,8,
LINC00309,150992,2,
LINC00313,114038,21,
DCUN1D1,54165,3,
RPLP1,6176,15,
UBR7,55148,14,
HKR1,284459,19,
SULT4A1,25830,22,
ZNF529,57711,19,
OR9Q2,219957,11,
CST11,140880,20,
RPRML,388394,17,
LINC00301,283197,11,
PHF21A,51317,11,
ROR1,4919,1,
EYA4,2070,6,
COL22A1,169044,8,
ZPBP,11055,7,
TRAF6,7189,11,
TES,26136,7,
SPDYE7P,441251,7,
TREH,11181,11,
MPZ,4359,1,
SPIRE2,84501,16,
ISY1,57461,3,
ARL14EP,120534,11,
EFCC1,79825,3,
REXO1L1,254958,8,
DEK,7913,6,
PSMC2,5701,7,
CD164L2,388611,1,
NOL11,25926,17,
SIGLEC9,27180,19,
ITK,3702,5,
ARHGAP20,57569,11,
ECT2,1894,3,
MEIG1,644890,10,
CXorf22,170063,,
P2RY11,5032,19,
CDK5RAP2,55755,9,
PMAIP1,5366,18,
CHD7,55636,8,
MECP2,4204,X,
SPNS3,201305,17,
TSC22D3,1831,X,
RAB3A,5864,19,
ZNF32,7580,10,
FAM209A,200232,20,
SDCCAG3,10807,9,
DSCAM,1826,21,
SPTY2D1,144108,11,
MAFB,9935,20,
GIGYF1,64599,7,
OLFML1,283298,11,
PCED1A,64773,20,
EPGN,255324,4,
CEBPE,1053,14,
CCRN4L,25819,4,
TMOD3,29766,15,
GNG2,54331,14,
TEX12,56158,11,
VIP,7432,6,
SHISA6,388336,17,
PPP3R2,5535,9,
INTS9,55756,8,
UPP1,7378,7,
LRRN4,164312,20,
PRR26,414235,10,
AGFG2,3268,7,
LINC00672,100505576,,
OR10A7,121364,12,
EVC,2121,4,
TTC4,7268,1,
ZNF273,10793,7,
GUCY1B2,2974,13,
WDR90,197335,16,
HIST1H3G,8355,6,
ASCL3,56676,11,
BCO2,83875,11,
ARID3C,138715,9,
NPC1L1,29881,7,
MGAM,8972,7,
PTAFR,5724,1,
UPK3A,7380,22,
CDKN3,1033,14,
KRT2,3849,12,
KISS1R,84634,19,
TET3,200424,2,
PLCB1,23236,20,
SNRK,54861,3,
PLEKHM3,389072,2,
FOLR4,390243,11,
BTNL8,79908,5,
DUXA,503835,19,
FAM76A,199870,1,
ESRP2,80004,16,hormone
SUV420H2,84787,19,
ERCC4,2072,16,
ANKRD34B,340120,5,
C19orf57,79173,19,
NLRC3,197358,16,
ST3GAL3,6487,1,
SMIM14,201895,4,
EDN1,1906,6,
RASAL3,64926,19,
PLEKHA8P1,51054,12,
EXOSC1,51013,10,
BPIFC,254240,22,
NCKIPSD,51517,3,
B3GNT7,93010,2,
RAB3D,9545,19,
RAB5C,5878,17,
SCNN1D,6339,1,
CEL,1056,9,
GPR135,64582,14,
SAMD7,344658,3,
AP1S2,8905,X,
FAM26F,441168,6,
LIN54,132660,4,
NOTUM,147111,17,
TPRXL,348825,3,
TMED4,222068,7,
SERPINA5,5104,14,
EIF4B,1975,12,
CCDC136,64753,7,
DOCK8,81704,9,
POU2F1,5451,1,
PRICKLE2,166336,3,
UCHL5,51377,1,
COMMD7,149951,20,
FAF1,11124,1,
DCD,117159,12,
ACOXL,55289,2,
TMEM120B,144404,12,
ALG13,79868,X,
RPL31P11,641311,1,
LRRC3,81543,21,
INCA1,388324,17,
NPR1,4881,1,
KIF23,9493,15,
GFI1B,8328,9,
SPATA2,9825,20,
GTSF1L,149699,20,
CRTAP,10491,3,
FST,10468,5,
PDK2,5164,17,
XG,7499,X,
OPTC,26254,1,
CASP8,841,2,
GPR158,57512,10,
FOXI1,2299,5,
PRRC2B,84726,9,
AMHR2,269,12,
RSG1,79363,1,
CMAHP,8418,,
KIF27,55582,9,
LAD1,3898,1,
PPM1K,152926,4,
C11orf1,64776,11,
LINC00167,440072,,
SNX2,6643,5,
TMEM177,80775,2,
WIPI1,55062,17,
ATP8B3,148229,19,
ACSM4,341392,12,
TCHH,7062,1,
OR4A15,81328,11,
WDR11-AS1,283089,10,
LSR,51599,19,
PRRT4,401399,7,
COG2,22796,1,
DNMBP,23268,10,
OR7A5,26659,19,
ANKRD45,339416,1,
MIR548AP,100847084,15,
C11orf65,160140,11,
DYNC1LI1,51143,3,
MS4A3,932,11,
UCP2,7351,11,
C11orf84,144097,11,
C9orf172,389813,9,
CEP68,23177,2,
LARS,51520,5,
BCL9L,283149,11,
CENPM,79019,22,
QPCT,25797,2,
LILRA4,23547,19,
37316,51257,19,
NDUFB11,54539,X,
C22orf23,84645,22,
HES7,84667,17,
ASB9,140462,X,
LINC00341,79686,,
DSCC1,79075,8,
NPHP4,261734,1,
SMURF1,57154,7,
SLC25A38,54977,3,
XPNPEP1,7511,10,
NUDT6,11162,4,
RNU5E-1,26829,1,
ZBTB11-AS1,100009676,3,
TMEM211,255349,22,
ZNF311,282890,6,
RAP2B,5912,3,
PCBD2,84105,5,
KLHDC2,23588,14,
MRPL28,10573,16,
MCU,90550,10,
PLCE1,51196,10,
SPANXN4,441525,X,
CCDC6,8030,10,
THOC1,9984,18,
RABEP1,9135,17,
HOXA3,3200,7,
BIRC8,112401,19,
PRM1,5619,16,
PCGF6,84108,10,
C10orf126,283080,10,
VASH2,79805,1,
NPAS4,266743,11,
MED12,9968,X,
OR1A2,26189,17,
CSNK1A1,1452,5,
FCRL4,83417,1,
SETDB2,83852,13,
C17orf107,100130311,17,
CTSW,1521,11,
RNF113A,7737,X,
ONECUT1,3175,15,
MAPK8IP3,23162,16,
GADD45GIP1,90480,19,
GPSM3,63940,6,
FGD2,221472,6,
EWSR1,2130,22,
SPATA21,374955,1,
TMEM129,92305,4,
ODF2L,57489,1,
CT62,196993,15,
ABCC11,85320,16,
NOG,9241,17,
PRSS57,400668,19,
LPHN1,22859,19,
ALDH3B1,221,11,
CSNK1D,1453,17,
PLXDC1,57125,17,
DXO,1797,6,
C6orf226,441150,6,
INTS7,25896,1,
HELB,92797,12,
XAGE3,170626,X,
MIRLET7BHG,400931,22,
SLC22A11,55867,11,
G2E3,55632,14,
MLLT11,10962,1,
SCYL1,57410,11,
KRT85,3891,12,
BTNL2,56244,6,
C15orf40,123207,15,
MLXIP,22877,12,
LINC-PINT,378805,7,
ZMYND15,84225,17,
LRRC37A6P,387646,,
SNW1,22938,14,
CALM2,805,2,
FCRL3,115352,1,
RPL36,25873,19,
SLC36A3,285641,5,
SORD,6652,15,
OTOP1,133060,4,
HNMT,3176,2,
OR10G8,219869,11,
LRRC41,10489,1,
PIK3CD,5293,1,
POU6F1,5463,12,
CES1P1,51716,16,
IFNA21,3452,9,
C2orf74,339804,2,
LINGO3,645191,19,
TBX21,30009,17,
GADL1,339896,3,
FKRP,79147,19,
TOMM6,100188893,6,
PYGO2,90780,1,
MIR548N,100302152,7,
KRTAP2-3,730755,17,
NXPE1,120400,11,
ZNF75D,7626,X,
OR2L13,284521,1,
ADAM2,2515,8,
ELF3,1999,1,
HHIPL2,79802,1,
SAA3P,6290,11,
PLXNA1,5361,3,
ARL16,339231,17,
PRMT10,90826,4,
HIST1H2AB,8335,6,
ABHD16B,140701,20,
ZNF746,155061,7,
IGHMBP2,3508,11,
DEFB103B,55894,8,
MYO1A,4640,12,
MAP3K15,389840,X,
FAM84B,157638,8,
ADCY10P1,221442,6,
LAX1,54900,1,
CHST9,83539,18,
RILPL2,196383,12,
VLDLR,7436,9,
KCNH2,3757,7,
THY1,7070,11,
PDCD2L,84306,19,
GGA3,23163,17,
